      time    X coord    Y coord      Theta          V          W          a      gamma
    220.00      94.13      92.87       5.85       0.50      -0.08      -0.00       0.05
    210.00      89.60      94.97       0.40       0.50      -0.59       0.04       0.00
    200.00      85.00      93.00       6.28       0.14      -0.61      -0.04      -0.06
    190.00      83.60      93.01       6.07       0.50      -0.04      -0.00       0.00
    180.00      78.71      94.06       0.21       0.50      -0.09      -0.00      -0.02
    170.00      73.82      93.03       1.07       0.50       0.08       0.00       0.01
    160.00      71.41      88.65       0.23       0.50      -0.06      -0.00      -0.01
    150.00      66.54      87.54       0.79       0.50       0.05       0.01       0.00
    140.00      63.00      84.00       0.24       0.41       0.02      -0.01       0.05
    130.00      59.00      83.00       0.03       0.48      -0.50      -0.00       0.02
    120.00      54.24      82.85       5.06       0.50      -0.68      -0.00      -0.00
    110.00      52.53      87.54       5.62       0.50      -0.66       0.00      -0.00
    100.00      48.58      90.61       5.99       0.50      -0.63      -0.00      -0.06
     90.00      43.80      92.07       6.05       0.50      -0.03      -0.00       0.06
     80.00      38.93      93.23       0.09       0.50      -0.61       0.00      -0.04
     70.00      33.96      92.77       6.20       0.50      -0.16       0.00       0.03
     60.00      28.97      93.20       1.54       0.50      -0.47      -0.00      -0.05
     50.00      28.81      88.20       6.26       0.50      -0.01      -0.00       0.01
     40.00      23.81      88.30       0.09       0.50      -0.10      -0.00       0.04
     30.00      18.83      87.88       1.09       0.50      -0.48       0.00       0.01
     20.00      16.53      83.44       5.88       0.50      -0.55       0.00       0.00
     10.00      11.92      85.38       5.11       0.50      -0.59       0.05      -0.06
      0.00      10.00      90.00       4.71       0.00       0.00       0.00       0.00
