      time    X coord    Y coord      Theta          V          W          a      gamma
    340.00      16.33       7.21       0.37      -0.50      -0.51      -0.04       0.01
    330.00      21.00       9.00       5.50      -0.14      -0.59       0.02       0.01
    320.00      22.00       8.00       5.13      -0.36      -0.74       0.01      -0.07
    310.00      23.46       4.70       6.26      -0.50      -0.01       0.00      -0.00
    300.00      28.46       4.58       0.09      -0.50       0.00      -0.00       0.01
    290.00      33.44       5.03       0.07      -0.50      -0.07       0.00       0.04
    280.00      38.43       5.38       0.78      -0.50      -0.49      -0.00       0.01
    270.00      41.99       8.89       5.71      -0.50      -0.62       0.00       0.00
    260.00      46.20       6.20       5.65      -0.50      -0.67       0.00      -0.00
    250.00      50.24       3.25       6.08      -0.50      -0.63      -0.00      -0.05
    240.00      55.14       2.24       6.14      -0.50      -0.16       0.00      -0.02
    230.00      60.08       1.50       1.41      -0.50       0.05      -0.00       0.05
    220.00      60.88       6.44       0.95      -0.50      -0.50      -0.00       0.01
    210.00      63.79      10.51       5.93      -0.50      -0.64       0.00       0.00
    200.00      68.48       8.78       6.02      -0.50      -0.65      -0.00      -0.06
    190.00      73.30       7.47       6.25      -0.50      -0.04      -0.00       0.04
    180.00      78.30       7.29       0.35      -0.50      -0.46      -0.08      -0.02
    170.00      83.00       9.00       4.93       0.34      -0.27       0.08      -0.04
    160.00      82.28      12.30       1.36      -0.50       0.10      -0.00       0.01
    150.00      83.34      17.19       0.37      -0.50      -0.01      -0.03       0.04
    140.00      88.00      19.00       0.49      -0.17      -0.43      -0.07      -0.02
    130.00      89.52      19.81       4.75       0.50      -0.23       0.10       0.02
    120.00      89.32      24.81       0.75      -0.50      -0.40      -0.10       0.02
    110.00      92.98      28.21       4.71       0.50      -0.64      -0.00      -0.04
    100.00      92.98      33.21       4.78       0.50      -0.28       0.10       0.01
     90.00      92.64      38.20       1.32      -0.50      -0.34      -0.10       0.03
     80.00      93.88      43.05       4.76       0.50      -0.64       0.00       0.01
     70.00      93.62      48.04       4.84       0.50      -0.70       0.01      -0.06
     60.00      93.00      53.00       5.55       0.36      -0.10      -0.01      -0.01
     50.00      90.34      55.41       0.23       0.50      -0.02       0.00       0.06
     40.00      85.48      54.26       0.45       0.50      -0.58       0.00      -0.01
     30.00      80.98      52.06       6.25       0.50      -0.48       0.00      -0.03
     20.00      75.99      52.21       4.74       0.50      -0.21       0.10       0.00
     10.00      75.85      57.21       0.59      -0.50      -0.25      -0.05      -0.03
      0.00      80.00      60.00       3.14       0.00       0.00       0.00       0.00
