      time    X coord    Y coord      Theta          V          W          a      gamma
    130.00      85.49      60.03       6.05       1.00      -0.55       0.00       0.01
    120.00      75.77      62.38       5.26       1.00      -0.62      -0.00       0.00
    110.00      70.53      70.90       5.22       1.00      -0.64       0.00       0.01
    100.00      65.68      79.64       5.29       1.00      -0.69       0.00      -0.01
     90.00      60.24      88.03       5.90       1.00      -0.62      -0.00       0.00
     80.00      50.95      91.73       5.83       1.00      -0.66       0.00      -0.05
     70.00      41.96      96.11       6.19       1.00      -0.14       0.02       0.03
     60.00      32.00      97.00       1.30       0.79      -0.48      -0.02      -0.04
     50.00      29.87      89.40       6.12       1.00      -0.10       0.03       0.03
     40.00      20.00      91.00       0.88       0.72      -0.39       0.17      -0.01
     30.00      15.38      85.44       4.74      -1.00      -0.24      -0.20      -0.02
     20.00      15.68      75.45       0.84       1.00      -0.03       0.01      -0.01
     10.00       9.00      68.00       1.11       0.89       0.11       0.09       0.01
      0.00       5.00      60.00       0.00       0.00       0.00       0.00       0.00
