      time    X coord    Y coord      Theta          V          W          a      gamma
    150.00      15.00       3.00       0.08      -1.20      -0.04      -0.01       0.04
    140.00      27.00       4.00       0.46      -1.12      -0.42      -0.11       0.02
    130.00      37.00       9.00       4.71       0.00      -0.67       0.14      -0.05
    120.00      37.00      15.00       5.08      -1.39      -0.12       0.06      -0.00
    110.00      42.00       2.00       0.00      -2.00      -0.08      -0.05       0.04
    100.00      62.00       2.00       0.83      -1.49      -0.48       0.02      -0.03
     90.00      72.00      13.00       5.66      -1.72      -0.20       0.01      -0.02
     80.00      86.00       3.00       1.37      -1.84      -0.00       0.02       0.03
     70.00      89.59      21.04       1.38      -2.00      -0.34      -0.40       0.04
     60.00      93.48      40.65       4.77       2.00      -0.74       0.00      -0.01
     50.00      92.29      60.62       5.94       2.00      -0.64       0.00      -0.06
     40.00      73.49      67.44       6.01       2.00      -0.06       0.00       0.04
     30.00      54.21      72.75       0.35       2.00      -0.44       0.40       0.02
     20.00      35.41      65.94       4.79      -2.00      -0.67      -0.13      -0.05
     10.00      37.00      46.00       5.18      -0.67      -0.19      -0.07      -0.02
      0.00      40.00      40.00       0.79       0.00       0.00       0.00       0.00
